0.755	6.665
0.748	6.767
4.609	7.256
2.873	7.509
7.399	9.120
10.473	10.966
14.806	16.829
15.808	17.908
16.639	18.775
18.344	19.186
19.945	20.570
19.554	20.773
20.975	22.305
21.879	22.860
25.874	26.367
26.027	26.425
28.387	29.347
30.612	31.156
35.072	35.384
36.600	37.169
38.822	39.592
39.061	41.216
42.822	44.981
42.919	45.458
44.622	46.633
44.839	47.520
45.312	48.140
47.428	48.349
48.307	49.342
50.414	51.303
50.866	51.524
51.050	52.015
51.824	52.881
53.105	53.450
56.123	57.194
59.782	60.720
60.647	61.637
65.845	66.190
67.721	68.530
67.351	68.894
68.995	69.545
71.066	71.667
73.683	74.419
73.915	75.044
80.451	81.752
81.940	82.335
82.551	82.618
81.931	82.698
85.796	86.741
86.577	87.831
85.898	88.714
88.888	89.898
88.640	90.099
91.189	91.589
92.808	93.652
93.376	93.848
96.537	97.533
96.399	98.015
96.927	98.610
99.556	101.209
101.231	101.618
101.675	102.165
102.581	103.968
106.356	107.275
106.010	107.671
106.477	107.844
108.146	108.741
107.732	108.765
110.233	110.542
110.742	112.404
111.124	113.177
112.854	114.369
118.688	119.704
120.133	121.444
126.294	127.535
134.982	135.425
137.514	140.007
139.065	141.108
139.912	142.016
140.061	142.678
141.427	144.446
141.786	144.714
144.341	145.679
143.308	145.920
145.821	146.855
147.380	148.307
148.873	150.553
153.645	154.984
155.112	156.206
155.340	157.438
159.263	160.304
162.556	163.831
161.723	164.205
163.623	164.888
165.125	166.907
166.029	167.503
168.043	169.593
179.444	180.949
179.542	181.165
184.078	186.056
192.459	193.803
196.073	197.344
197.205	198.335
199.184	200.762
200.327	202.619
201.176	203.495
201.485	204.428
201.893	205.535
203.072	206.469
203.675	206.493
204.099	206.752
205.807	207.045
206.411	207.953
209.825	210.173
209.657	210.305
210.293	211.557
211.736	212.444
211.297	213.134
215.034	215.782
216.266	217.048
216.797	217.402
216.382	217.926
218.977	219.942
219.649	221.019
220.296	221.593
220.749	222.406
220.727	222.649
223.331	224.682
224.047	225.146
224.758	226.026
226.038	226.690
224.556	226.938
228.479	229.091
233.822	235.171
238.727	239.175
238.759	240.221
240.005	240.725
241.212	242.161
242.661	243.444
243.672	244.474
248.445	248.892
250.083	251.617
251.125	252.593
257.107	259.253
258.433	259.716
258.448	260.898
260.241	261.452
266.341	266.659
268.266	268.725
268.672	269.650
271.984	272.570
272.050	273.673
275.464	275.769
275.728	276.760
279.073	279.337
279.431	279.898
279.718	280.321
280.245	282.308
281.520	282.962
283.663	284.744
284.969	285.669
285.103	286.922
290.447	291.439
293.762	293.993
294.593	294.916
294.663	296.602
295.620	296.926
301.618	301.874
307.212	308.147
307.548	309.966
307.947	310.756
314.793	315.953
315.544	316.149
317.710	318.520
322.518	323.463
325.695	326.728
328.661	329.201
330.386	331.468
333.384	334.972
333.871	335.845
338.134	338.919
338.570	339.327
338.809	340.595
341.479	342.160
350.128	350.819
352.715	354.101
354.490	355.335
354.659	356.165
356.025	357.245
356.383	357.759
357.798	359.586
358.756	360.006
359.031	360.335
360.459	361.052
363.309	364.335
365.590	366.384
365.865	366.896
370.872	371.314
375.759	375.913
376.567	377.480
383.489	384.721
383.874	386.618
384.803	386.986
388.146	389.047
388.309	390.808
389.221	391.726
389.239	393.372
389.671	393.850
390.471	394.761
393.737	396.138
395.703	396.659
